Rank,Club,Country,Level,Elo,From,To
1,Barcelona,ESP,1,1991.24291992,2006-12-22,2007-01-07
2,Chelsea,ENG,1,1970.99768066,2006-12-31,2007-01-02
3,Lyon,FRA,1,1952.31604004,2006-12-24,2007-01-13
4,Man United,ENG,1,1942.64453125,2006-12-31,2007-01-01
5,Sevilla,ESP,1,1920.62670898,2006-12-21,2007-01-06
6,Real Madrid,ESP,1,1902.11340332,2006-12-21,2007-01-07
7,Arsenal,ENG,1,1886.60412598,2006-12-31,2007-01-01
8,Juventus,ITA,2,1884.45214844,2006-12-23,2007-01-01
9,Liverpool,ENG,1,1882.94116211,2006-12-31,2007-01-01
10,Inter,ITA,1,1881.0402832,2006-12-31,2007-01-13
11,Valencia,ESP,1,1864.89257812,2006-12-20,2007-01-07
12,Milan,ITA,1,1843.05664062,2006-12-24,2007-01-14
13,Bayern,GER,1,1829.45043945,2006-12-27,2007-01-20
14,PSV,NED,1,1829.16369629,2006-12-31,2007-01-20
15,Werder,GER,1,1827.8416748,2006-12-18,2007-01-20
16,Atletico,ESP,1,1819.9642334,2006-12-22,2007-01-06
17,Porto,POR,1,1812.39123535,2006-12-18,2007-01-14
18,Roma,ITA,1,1811.4810791,2006-12-24,2007-01-14
19,Bolton,ENG,1,1796.08203125,2006-12-31,2007-01-01
20,Villarreal,ESP,1,1795.80310059,2006-12-21,2007-01-01
21,Tottenham,ENG,1,1791.90124512,2006-12-31,2007-01-01
22,Osasuna,ESP,1,1791.47729492,2006-12-31,2007-01-01
23,Celta,ESP,1,1786.99755859,2006-12-27,2007-01-07
24,Zaragoza,ESP,1,1777.65258789,2006-12-27,2007-01-06
25,Espanyol,ESP,1,1775.56835938,2006-12-27,2007-01-07
26,Lille,FRA,1,1773.76257324,2006-12-31,2007-01-07
27,Getafe,ESP,1,1765.9708252,2006-12-31,2007-01-01
28,Schalke,GER,1,1765.70935059,2006-12-31,2007-01-01
29,Newcastle,ENG,1,1762.95715332,2006-12-31,2007-01-01
30,Fiorentina,ITA,1,1755.04333496,2006-12-24,2007-01-01
31,Blackburn,ENG,1,1754.90234375,2006-12-31,2007-01-01
32,Recreativo,ESP,1,1753.10095215,2006-12-31,2007-01-07
33,Bilbao,ESP,1,1743.46630859,2006-12-27,2007-01-07
34,Everton,ENG,1,1743.24645996,2006-12-31,2007-01-01
35,Lens,FRA,1,1739.2734375,2006-12-27,2007-01-01
36,Portsmouth,ENG,1,1734.65820312,2006-12-31,2007-01-01
37,Lazio,ITA,1,1732.85192871,2006-12-31,2007-01-07
38,Santander,ESP,1,1732.29223633,2006-12-31,2007-01-07
39,Bordeaux,FRA,1,1729.41992188,2006-12-28,2007-01-13
40,Depor,ESP,1,1723.05187988,2006-12-28,2007-01-07
41,Marseille,FRA,1,1721.25292969,2006-12-28,2007-01-14
42,Benfica,POR,1,1721.24938965,2006-12-28,2007-01-15
43,Betis,ESP,1,1715.41235352,2007-01-01,2007-01-07
44,Alkmaar,NED,1,1714.4119873,2007-01-01,2007-01-13
45,Shakhtar,UKR,1,1711.34692383,2006-12-21,2007-01-13
46,Steaua,ROM,1,1711.0480957,2006-12-21,2007-01-13
47,Mallorca,ESP,1,1708.02099609,2006-12-31,2007-01-01
48,Palermo,ITA,1,1708.00366211,2006-12-31,2007-01-01
49,Sporting,POR,1,1706.62585449,2006-12-31,2007-01-01
50,Leverkusen,GER,1,1706.11315918,2006-12-31,2007-01-01
51,CSKA Moskva,RUS,1,1705.20629883,2006-12-31,2007-01-01
52,Fulham,ENG,1,1704.1685791,2006-12-31,2007-01-01
53,Middlesbrough,ENG,1,1702.90649414,2006-12-31,2007-01-01
54,Dynamo Kyiv,UKR,1,1702.01098633,2006-12-31,2007-01-07
55,Stuttgart,GER,1,1699.8638916,2006-12-24,2007-01-07
56,Reading,ENG,1,1699.49938965,2006-12-31,2007-01-01
57,Sochaux,FRA,1,1697.55224609,2006-12-27,2007-01-07
58,Monaco,FRA,1,1696.91442871,2006-12-27,2007-01-07
59,Rennes,FRA,1,1693.25805664,2006-12-31,2007-01-01
60,Dinamo Bucuresti,ROM,1,1692.73352051,2006-12-31,2007-01-01
61,Aston Villa,ENG,1,1690.66674805,2006-12-31,2007-01-01
62,Man City,ENG,1,1688.28662109,2006-12-31,2007-01-01
63,Saint-Etienne,FRA,1,1684.4230957,2006-12-31,2007-01-06
64,Fenerbahce,TUR,1,1682.7833252,2006-12-31,2007-01-06
65,Nancy,FRA,1,1678.9354248,2006-12-27,2007-01-06
66,Sociedad,ESP,1,1678.69555664,2006-12-27,2007-01-06
67,Spartak Moskva,RUS,1,1675.41223145,2006-12-27,2007-01-07
68,Auxerre,FRA,1,1674.75012207,2006-12-30,2007-01-07
69,Levante,ESP,1,1674.37646484,2006-12-30,2007-01-07
70,Dortmund,GER,1,1672.94482422,2006-12-30,2007-01-13
71,Le Mans,FRA,1,1672.02783203,2006-12-30,2007-01-13
72,Wigan,ENG,1,1671.31945801,2006-12-30,2007-01-01
73,Rapid Bucuresti,ROM,1,1671.19030762,2006-12-30,2007-01-01
74,Olympiakos,GRE,1,1668.56970215,2006-12-31,2007-01-01
75,Birmingham,ENG,2,1668.00170898,2006-12-31,2007-01-01
76,Ajax,NED,1,1667.96337891,2006-12-31,2007-01-01
77,Hertha,GER,1,1667.83044434,2006-12-28,2007-01-01
78,Caen,FRA,2,1665.87548828,2006-12-27,2007-01-01
79,Nice,FRA,1,1664.70007324,2006-12-31,2007-01-01
80,Celtic,SCO,1,1659.3013916,2006-12-31,2007-01-01
81,Paris SG,FRA,1,1656.35107422,2006-12-24,2007-01-13
82,Nuernberg,GER,1,1653.51904297,2006-12-24,2007-01-14
83,Galatasaray,TUR,1,1650.6081543,2006-12-24,2007-01-14
84,Cadiz,ESP,2,1650.29992676,2006-12-24,2007-01-07
85,Levski,BUL,1,1650.06274414,2006-12-24,2007-01-07
86,AEK,GRE,1,1647.72717285,2006-12-24,2007-01-06
87,Metz,FRA,2,1645.52416992,2006-12-24,2007-01-06
88,Udinese,ITA,1,1644.7199707,2006-12-24,2007-01-06
89,Anderlecht,BEL,1,1642.99499512,2006-12-24,2007-01-06
90,Hamburg,GER,1,1641.6114502,2006-12-24,2007-01-06
91,Feyenoord,NED,1,1640.92578125,2006-12-30,2007-01-06
92,Almeria,ESP,2,1640.73474121,2006-12-30,2007-01-06
93,Valladolid,ESP,2,1639.70288086,2006-12-30,2007-01-06
94,Nantes,FRA,1,1637.15100098,2006-12-30,2007-01-06
95,Sampdoria,ITA,1,1634.60986328,2006-12-24,2007-01-06
96,Zenit,RUS,1,1634.03173828,2006-12-18,2007-01-06
97,Charlton,ENG,1,1631.78820801,2006-12-31,2007-01-02
98,Panathinaikos,GRE,1,1628.58129883,2006-12-24,2007-01-02
99,Alaves,ESP,2,1626.71704102,2006-12-24,2007-01-07
100,Gijon,ESP,2,1626.15087891,2006-12-24,2007-01-07
None,Sheffield United,ENG,1,1625.77062988,2006-12-31,2007-01-01
None,Zuerich,SUI,1,1623.10314941,2006-12-15,2007-01-07
None,Lok Moskva,RUS,1,1622.91345215,2006-12-07,2007-01-07
None,Livorno,ITA,1,1621.91784668,2006-12-24,2007-01-14
None,West Ham,ENG,1,1621.89111328,2006-12-31,2007-01-01
None,FC Kobenhavn,DEN,1,1621.02624512,2006-12-07,2007-03-11
None,Torino,ITA,1,1619.00793457,2006-12-24,2007-01-13
None,Numancia,ESP,2,1614.54431152,2006-12-21,2007-01-07
None,Slovan Liberec,CZE,1,1613.95056152,2006-12-14,2007-03-12
None,Empoli,ITA,1,1613.7130127,2006-12-24,2007-01-13
None,Catania,ITA,1,1613.69921875,2006-12-24,2007-01-14
None,Braga,POR,1,1612.9354248,2006-12-19,2007-01-13
None,Toulouse,FRA,1,1612.37731934,2006-12-24,2007-01-13
None,West Brom,ENG,2,1612.29272461,2006-12-31,2007-01-01
None,Strasbourg,FRA,2,1612.1965332,2006-12-22,2007-01-14
None,Xerez,ESP,2,1610.51049805,2006-12-22,2007-01-06
None,Tarragona,ESP,1,1609.73803711,2006-12-21,2007-01-06
None,Preston,ENG,2,1609.59912109,2006-12-31,2007-01-01
None,Atalanta,ITA,1,1608.76379395,2006-12-24,2007-01-14
None,Ciudad de Murcia,ESP,2,1608.12475586,2006-12-21,2007-01-07
None,Lorient,FRA,1,1608.09997559,2006-12-24,2007-01-13
None,Murcia,ESP,2,1607.70556641,2006-12-21,2007-01-07
None,Malaga,ESP,2,1605.81921387,2006-12-21,2007-01-06
None,Frankfurt,GER,1,1603.54199219,2006-12-17,2007-01-27
None,Reggina,ITA,1,1603.41320801,2006-12-24,2007-01-14
None,Siena,ITA,1,1603.07983398,2006-12-24,2007-01-14
None,Slavia Praha,CZE,1,1602.65161133,2006-12-14,2007-03-12
None,Cagliari,ITA,1,1599.57702637,2006-12-24,2007-01-14
None,Chievo,ITA,1,1598.6496582,2006-12-24,2007-01-14
None,Bielefeld,GER,1,1598.00756836,2006-12-17,2007-01-27
None,Hannover,GER,1,1597.05004883,2006-12-17,2007-01-28
None,Watford,ENG,1,1597.0447998,2006-12-27,2007-01-01
None,Parma,ITA,1,1596.92932129,2006-12-24,2007-01-13
None,Troyes,FRA,1,1594.71252441,2006-12-24,2007-01-13
None,Salamanca,ESP,2,1592.84228516,2006-12-21,2007-01-07
None,Basel,SUI,1,1591.97998047,2006-12-15,2007-02-11
None,CSKA Sofia,BUL,1,1591.68811035,2006-12-06,2007-03-04
None,Bologna,ITA,2,1590.12805176,2006-12-23,2007-01-13
None,Bochum,GER,1,1589.49597168,2006-12-16,2007-01-27
None,Valenciennes,FRA,1,1588.92712402,2006-12-24,2007-01-13
None,Twente,NED,1,1587.5513916,2006-12-31,2007-01-20
None,Brugge,BEL,1,1586.75622559,2006-12-18,2007-01-21
