Rank,Club,Country,Level,Elo,From,To
1,Chelsea,ENG,1,1993.12817383,2006-01-01,2006-01-02
2,Barcelona,ESP,1,1973.26281738,2005-12-21,2006-01-07
3,Juventus,ITA,1,1941.2277832,2005-12-22,2006-01-07
4,Lyon,FRA,1,1920.84118652,2005-12-17,2006-01-04
5,Milan,ITA,1,1906.17126465,2005-12-22,2006-01-08
6,Bayern,GER,1,1903.90405273,2005-12-22,2006-01-15
7,Inter,ITA,1,1870.41589355,2006-01-01,2006-01-08
8,Arsenal,ENG,1,1869.99450684,2006-01-01,2006-01-03
9,Liverpool,ENG,1,1866.9185791,2006-01-01,2006-01-02
10,Villarreal,ESP,1,1865.84008789,2006-01-01,2006-01-02
11,Man United,ENG,1,1861.81445312,2006-01-01,2006-01-03
12,Real Madrid,ESP,1,1852.27954102,2005-12-22,2006-01-08
13,PSV,NED,1,1836.89331055,2005-12-30,2006-01-14
14,Valencia,ESP,1,1832.32226562,2005-12-22,2006-01-08
15,Werder,GER,1,1800.88745117,2005-12-19,2006-01-29
16,Depor,ESP,1,1787.27197266,2005-12-22,2006-01-07
17,Monaco,FRA,1,1785.9654541,2005-12-22,2006-01-05
18,Sevilla,ESP,1,1781.58422852,2005-12-22,2006-01-05
19,Lille,FRA,1,1771.35632324,2005-12-17,2006-01-04
20,Osasuna,ESP,1,1765.90527344,2005-12-27,2006-01-08
21,Hamburg,GER,1,1758.45581055,2006-01-01,2006-01-04
22,Bolton,ENG,1,1756.32348633,2006-01-01,2006-01-02
23,Schalke,GER,1,1753.33557129,2005-12-29,2006-01-04
24,Lens,FRA,1,1752.84008789,2005-12-29,2006-01-04
25,Tottenham,ENG,1,1751.67138672,2006-01-01,2006-01-04
26,CSKA Moskva,RUS,1,1745.91638184,2006-01-01,2006-01-11
27,Betis,ESP,1,1739.90661621,2005-12-31,2006-01-08
28,Espanyol,ESP,1,1739.90637207,2005-12-31,2006-01-07
29,Dynamo Kyiv,UKR,1,1735.78039551,2005-12-31,2006-01-04
30,Marseille,FRA,1,1734.60253906,2005-12-31,2006-01-04
31,Paris SG,FRA,1,1733.59667969,2005-12-31,2006-01-04
32,Stuttgart,GER,1,1733.03381348,2005-12-31,2006-01-04
33,Zaragoza,ESP,1,1732.43896484,2005-12-31,2006-01-08
34,Atletico,ESP,1,1732.33410645,2005-12-31,2006-01-08
35,Ajax,NED,1,1730.42224121,2005-12-31,2006-01-11
36,Malaga,ESP,1,1728.22131348,2005-12-27,2006-01-08
37,Shakhtar,UKR,1,1728.02600098,2005-12-27,2006-01-08
38,Auxerre,FRA,1,1720.59130859,2006-01-01,2006-01-05
39,Saint-Etienne,FRA,1,1719.46936035,2006-01-01,2006-01-04
40,Getafe,ESP,1,1719.11315918,2006-01-01,2006-01-04
41,Man City,ENG,1,1718.64257812,2006-01-01,2006-01-04
42,Newcastle,ENG,1,1718.01037598,2006-01-01,2006-01-02
43,Hertha,GER,1,1716.19287109,2005-12-22,2006-01-02
44,Bordeaux,FRA,1,1714.10046387,2005-12-22,2006-01-04
45,Sociedad,ESP,1,1713.33947754,2005-12-22,2006-01-04
