Rank,Club,Country,Level,Elo,From,To
1,Barcelona,ESP,1,2036.55651855,2010-12-19,2011-01-02
2,Real Madrid,ESP,1,1973.61340332,2010-12-20,2011-01-03
3,Man United,ENG,1,1949.49755859,2010-12-29,2011-01-01
4,Chelsea,ENG,1,1893.88598633,2010-12-30,2011-01-02
5,Bayern,GER,1,1877.81835938,2010-12-20,2011-01-01
6,Arsenal,ENG,1,1871.16088867,2010-12-30,2011-01-01
7,Porto,POR,1,1866.24584961,2010-12-20,2011-01-08
8,Shakhtar,UKR,1,1845.0177002,2010-12-19,2011-01-14
9,Dortmund,GER,1,1841.90991211,2010-12-19,2011-01-14
10,Tottenham,ENG,1,1821.98535156,2010-12-29,2011-01-01
11,Man City,ENG,1,1810.65002441,2010-12-29,2011-01-01
12,Inter,ITA,1,1809.52807617,2010-12-29,2011-01-02
13,Valencia,ESP,1,1808.87084961,2010-12-29,2011-01-02
14,Marseille,FRA,1,1801.82226562,2010-12-27,2011-01-16
15,Leverkusen,GER,1,1799.18334961,2010-12-27,2011-01-14
16,Zenit,RUS,1,1795.2755127,2010-12-27,2011-01-14
17,CSKA Moskva,RUS,1,1792.83288574,2010-12-27,2011-01-14
18,Lyon,FRA,1,1786.78930664,2010-12-23,2011-01-15
19,Schalke,GER,1,1786.11364746,2010-12-30,2011-01-15
20,Villarreal,ESP,1,1773.70275879,2010-12-30,2011-01-01
21,Liverpool,ENG,1,1772.03710938,2010-12-30,2011-01-01
22,Milan,ITA,1,1770.99536133,2010-12-23,2011-01-05
23,Lille,FRA,1,1770.40209961,2010-12-23,2011-01-05
24,Roma,ITA,1,1757.73608398,2010-12-19,2011-01-06
25,Benfica,POR,1,1752.77050781,2010-12-29,2011-01-09
26,Everton,ENG,1,1752.72290039,2010-12-29,2011-01-01
27,Rubin Kazan,RUS,1,1748.36425781,2010-12-21,2011-01-01
28,Atletico,ESP,1,1738.64013672,2010-12-20,2011-01-03
29,Werder,GER,1,1737.07653809,2010-12-20,2011-01-03
30,PSV,NED,1,1734.52807617,2010-12-20,2011-01-03
31,Hamburg,GER,1,1734.2532959,2010-12-20,2011-01-03
32,Ajax,NED,1,1733.4720459,2010-12-23,2011-01-09
33,Wolfsburg,GER,1,1730.85168457,2010-12-23,2011-01-09
34,Bordeaux,FRA,1,1728.18859863,2010-12-23,2011-01-03
35,Hoffenheim,GER,1,1725.54125977,2010-12-19,2011-01-03
36,FC Kobenhavn,DEN,1,1723.44750977,2010-12-20,2011-01-03
37,Mallorca,ESP,1,1723.43774414,2010-12-20,2011-01-03
38,Getafe,ESP,1,1723.32092285,2010-12-20,2011-01-03
39,Stuttgart,GER,1,1722.63500977,2010-12-20,2011-01-03
40,Mainz,GER,1,1720.10229492,2010-12-20,2011-01-03
41,Dynamo Kyiv,UKR,1,1719.17456055,2010-12-20,2011-01-08
42,Sevilla,ESP,1,1708.01745605,2010-12-23,2011-01-02
43,Paris SG,FRA,1,1706.54943848,2010-12-27,2011-01-05
44,Juventus,ITA,1,1706.32470703,2010-12-27,2011-01-05
45,Auxerre,FRA,1,1705.71777344,2010-12-27,2011-01-05
46,Rennes,FRA,1,1705.08239746,2010-12-27,2011-01-05
47,Anderlecht,BEL,1,1703.55456543,2010-12-30,2011-01-05
48,Bilbao,ESP,1,1700.12939453,2010-12-30,2011-01-02
49,Betis,ESP,2,1698.94689941,2010-12-30,2011-01-02
50,Twente,NED,1,1696.59020996,2010-12-29,2011-01-01
51,Espanyol,ESP,1,1694.63903809,2010-12-29,2011-01-01
52,Blackburn,ENG,1,1692.65441895,2010-12-29,2011-01-01
53,Aston Villa,ENG,1,1691.56628418,2010-12-29,2011-01-02
54,Sporting,POR,1,1689.58642578,2010-12-27,2011-01-02
55,Fulham,ENG,1,1688.88000488,2010-12-30,2011-01-01
