Rank,Club,Country,Level,Elo,From,To
1,Liverpool,ENG,1,2075.85131836,2019-12-30,2020-01-02
2,Man City,ENG,1,2001.57202148,2019-12-30,2020-01-01
3,Barcelona,ESP,1,1985.36584473,2019-12-22,2020-01-04
4,Bayern,GER,1,1941.55712891,2019-12-22,2020-01-19
5,Juventus,ITA,1,1909.99304199,2019-12-19,2020-01-06
6,Real Madrid,ESP,1,1878.15783691,2019-12-23,2020-01-04
7,Paris SG,FRA,1,1876.38806152,2019-12-22,2020-01-12
8,Atletico,ESP,1,1863.5168457,2019-12-27,2020-01-04
9,Chelsea,ENG,1,1855.0423584,2019-12-30,2020-01-01
10,Tottenham,ENG,1,1840.8659668,2019-12-29,2020-01-01
11,Ajax,NED,1,1830.52075195,2019-12-27,2020-01-11
12,Leicester,ENG,1,1830.19836426,2019-12-29,2020-01-01
13,RB Leipzig,GER,1,1827.23059082,2019-12-29,2020-01-11
14,Man United,ENG,1,1826.82861328,2019-12-29,2020-01-01
15,Valencia,ESP,1,1819.73742676,2019-12-29,2020-01-01
16,Dortmund,GER,1,1816.70507812,2019-12-27,2020-01-01
17,Benfica,POR,1,1812.13916016,2019-12-27,2020-01-04
18,Arsenal,ENG,1,1796.1661377,2019-12-30,2020-01-01
19,Inter,ITA,1,1794.09179688,2019-12-22,2020-01-05
20,Porto,POR,1,1793.24707031,2019-12-22,2020-01-05
21,Sevilla,ESP,1,1788.68188477,2019-12-22,2020-01-03
22,Napoli,ITA,1,1786.11889648,2019-12-23,2020-01-03
23,Salzburg,AUT,1,1785.47668457,2019-12-23,2020-01-06
24,Getafe,ESP,1,1783.5814209,2019-12-23,2020-01-04
25,Wolves,ENG,1,1774.71240234,2019-12-30,2020-01-01
26,Atalanta,ITA,1,1769.24377441,2019-12-28,2020-01-01
27,Sociedad,ESP,1,1767.14038086,2019-12-28,2020-01-01
28,Roma,ITA,1,1766.87390137,2019-12-28,2020-01-01
29,Bilbao,ESP,1,1753.87976074,2019-12-23,2020-01-03
30,Shakhtar,UKR,1,1746.68701172,2019-12-17,2020-01-05
31,Crystal Palace,ENG,1,1744.37133789,2019-12-29,2020-01-01
32,Everton,ENG,1,1744.27368164,2019-12-29,2020-01-01
33,Leverkusen,GER,1,1736.99853516,2019-12-29,2020-01-05
34,Villarreal,ESP,1,1736.75622559,2019-12-29,2020-01-05
35,Gladbach,GER,1,1724.24902344,2019-12-27,2020-01-11
36,Lazio,ITA,1,1720.42541504,2019-12-27,2020-01-05
37,Newcastle,ENG,1,1708.01550293,2019-12-29,2020-01-01
38,Levante,ESP,1,1702.78369141,2019-12-27,2020-01-04
39,Hoffenheim,GER,1,1699.74475098,2019-12-27,2020-01-04
40,Zenit,RUS,1,1698.02185059,2019-12-27,2020-01-10
41,Sporting,POR,1,1696.9161377,2019-12-29,2020-01-05
42,Schalke,GER,1,1696.17675781,2019-12-29,2020-01-01
43,Brugge,BEL,1,1695.0892334,2019-12-29,2020-01-01
44,Olympiakos,GRE,1,1694.41711426,2019-12-29,2020-01-01
45,Betis,ESP,1,1694.35559082,2019-12-29,2020-01-01
46,Lyon,FRA,1,1693.90649414,2019-12-29,2020-01-01
47,Dinamo Zagreb,CRO,1,1692.91711426,2019-12-29,2020-01-01
48,Wolfsburg,GER,1,1692.54772949,2019-12-29,2020-01-01
49,West Ham,ENG,1,1691.03125,2019-12-30,2020-01-01
50,Sheffield United,ENG,1,1689.63024902,2019-12-30,2020-01-02
51,Osasuna,ESP,1,1684.71166992,2019-12-29,2020-01-01
52,Eibar,ESP,1,1684.44750977,2019-12-29,2020-01-01
53,Burnley,ENG,1,1683.97790527,2019-12-29,2020-01-01
54,Bournemouth,ENG,1,1679.67944336,2019-12-29,2020-01-01
55,Frankfurt,GER,1,1678.7175293,2019-12-23,2020-01-01
56,Southampton,ENG,1,1674.34790039,2019-12-29,2020-01-01
57,Alaves,ESP,1,1673.45678711,2019-12-27,2020-01-01
58,Marseille,FRA,1,1671.17114258,2019-12-27,2020-01-10
59,LASK,AUT,1,1670.85070801,2019-12-27,2020-01-12
60,Milan,ITA,1,1670.25756836,2019-12-27,2020-01-06
61,Slavia Praha,CZE,1,1667.53417969,2019-12-27,2020-01-06
62,Watford,ENG,1,1662.98144531,2019-12-29,2020-01-01
63,PAOK,GRE,1,1661.09887695,2019-12-30,2020-01-01
64,Brighton,ENG,1,1659.32214355,2019-12-30,2020-01-01
65,Young Boys,SUI,1,1658.73181152,2019-12-30,2020-01-04
66,Crvena Zvezda,SRB,1,1654.8157959,2019-12-30,2020-01-04
67,Valladolid,ESP,1,1652.65551758,2019-12-30,2020-01-03
68,Celtic,SCO,1,1652.40808105,2019-12-30,2020-01-03
69,Granada,ESP,1,1650.73083496,2019-12-29,2020-01-03
70,Torino,ITA,1,1649.93395996,2019-12-30,2020-01-05
71,Basel,SUI,1,1649.90563965,2019-12-30,2020-01-23
72,PSV,NED,1,1647.47961426,2019-12-30,2020-01-12
73,Rangers,SCO,1,1647.27307129,2019-12-30,2020-01-12
74,Alkmaar,NED,1,1646.92102051,2019-12-23,2020-01-12
75,Freiburg,GER,1,1645.67333984,2019-12-23,2020-01-12
76,Celta,ESP,1,1644.51208496,2019-12-23,2020-01-05
77,Espanyol,ESP,1,1643.52453613,2019-12-23,2020-01-04
78,Leganes,ESP,1,1640.35314941,2019-12-23,2020-01-03
79,Werder,GER,1,1638.37280273,2019-12-23,2020-01-18
80,Lille,FRA,1,1638.27355957,2019-12-23,2020-01-12
81,Gent,BEL,1,1638.20080566,2019-12-27,2020-01-12
82,Mainz,GER,1,1635.79016113,2019-12-30,2020-01-12
83,West Brom,ENG,2,1632.0123291,2019-12-30,2020-01-01
84,Rennes,FRA,1,1631.4152832,2019-12-27,2020-01-01
85,Augsburg,GER,1,1630.67358398,2019-12-27,2020-01-01
86,Hertha,GER,1,1627.96960449,2019-12-22,2020-01-10
87,FC Krasnodar,RUS,1,1627.61425781,2019-12-22,2020-01-10
88,Montpellier,FRA,1,1622.98669434,2019-12-29,2020-01-01
89,Aston Villa,ENG,1,1615.33764648,2019-12-29,2020-01-01
90,Dynamo Kyiv,UKR,1,1614.27246094,2019-12-22,2020-01-04
91,Braga,POR,1,1613.65307617,2019-12-22,2020-01-04
92,Reims,FRA,1,1613.00292969,2019-12-22,2020-01-11
93,Leeds,ENG,2,1610.00744629,2019-12-30,2020-01-01
94,APOEL,CYP,0,1609.46337891,2019-12-30,2020-01-11
95,Cagliari,ITA,1,1608.484375,2019-12-30,2020-01-06
96,Cadiz,ESP,2,1604.45483398,2019-12-30,2020-01-04
97,Norwich,ENG,1,1600.27038574,2019-12-29,2020-01-01
98,Monaco,FRA,1,1597.71496582,2019-12-29,2020-01-11
99,Saint-Etienne,FRA,1,1596.45739746,2019-12-29,2020-01-11
100,Huesca,ESP,2,1595.83093262,2019-12-29,2020-01-04
None,Nice,FRA,1,1595.48632812,2019-12-29,2020-01-11
None,Malmoe,SWE,1,1594.60473633,2019-12-13,2020-01-12
None,Feyenoord,NED,1,1592.5871582,2019-12-23,2020-01-18
None,Bologna,ITA,1,1592.30603027,2019-12-23,2020-01-06
None,CSKA Moskva,RUS,1,1590.70410156,2019-12-13,2020-02-29
None,Sassuolo,ITA,1,1588.49291992,2019-12-23,2020-01-05
None,Bueyueksehir,TUR,1,1587.29968262,2019-12-29,2020-01-18
None,CFR Cluj,ROM,1,1585.43310547,2019-12-22,2020-02-02
None,Rapid Wien,AUT,1,1582.82568359,2019-12-15,2020-02-16
None,Cardiff,ENG,2,1582.12023926,2019-12-30,2020-01-01
None,Fiorentina,ITA,1,1580.63867188,2019-12-21,2020-01-06
None,Duesseldorf,GER,1,1580.11950684,2019-12-23,2020-01-18
None,Almeria,ESP,2,1578.81689453,2019-12-23,2020-01-04
None,Standard,BEL,1,1577.66088867,2019-12-27,2020-01-17
None,Bordeaux,FRA,1,1577.29443359,2019-12-22,2020-01-11
None,Girona,ESP,2,1576.59802246,2019-12-23,2020-01-05
None,Mallorca,ESP,1,1575.55493164,2019-12-22,2020-01-05
None,Fulham,ENG,2,1574.81054688,2019-12-30,2020-01-01
None,Nantes,FRA,1,1573.93908691,2019-12-22,2020-01-12
None,Sampdoria,ITA,1,1573.69812012,2019-12-19,2020-01-06
None,Koeln,GER,1,1573.5604248,2019-12-22,2020-01-18
None,Angers,FRA,1,1573.3494873,2019-12-22,2020-01-11
None,Brentford,ENG,2,1572.1550293,2019-12-30,2020-01-01
None,FC Kobenhavn,DEN,1,1572.1048584,2019-12-17,2020-02-14
None,Union Berlin,GER,1,1569.16455078,2019-12-23,2020-01-18
None,Strasbourg,FRA,1,1568.45214844,2019-12-22,2020-01-11
None,Lok Moskva,RUS,1,1568.13830566,2019-12-13,2020-02-29
None,Parma,ITA,1,1567.88012695,2019-12-23,2020-01-06
None,Rayo Vallecano,ESP,2,1566.41467285,2019-12-22,2020-01-05
None,Charleroi,BEL,1,1560.04077148,2019-12-28,2020-01-18
None,Udinese,ITA,1,1558.53796387,2019-12-22,2020-01-06
None,Genk,BEL,1,1558.2010498,2019-12-27,2020-01-19
None,Apollon Lemesos,CYP,0,1557.35693359,2019-12-13,2020-02-20
None,Stuttgart,GER,2,1556.9732666,2019-12-22,2020-01-29
None,Sheffield Weds,ENG,2,1555.11999512,2019-12-30,2020-01-01
None,Guimaraes,POR,1,1555.11474609,2019-12-16,2020-01-04
None,Rostov,RUS,1,1553.06555176,2019-12-13,2020-02-29
None,Razgrad,BUL,1,1551.68469238,2019-12-16,2020-02-15
None,Antwerp,BEL,1,1545.27258301,2019-12-28,2020-01-19
None,Midtjylland,DEN,1,1544.67651367,2019-12-16,2020-02-17
None,Hamburg,GER,2,1543.33703613,2019-12-22,2020-01-30
None,Galatasaray,TUR,1,1541.93579102,2019-12-29,2020-01-19
None,Wolfsberg,AUT,1,1539.87121582,2019-12-16,2020-02-15
None,Zaragoza,ESP,2,1539.32946777,2019-12-23,2020-01-07
None,AEK,GRE,1,1538.37036133,2019-12-22,2020-01-05
None,Malaga,ESP,2,1538.33410645,2019-12-22,2020-01-05
None,Forest,ENG,2,1534.47558594,2019-12-30,2020-01-01
None,Bielefeld,GER,2,1534.29504395,2019-12-22,2020-01-28
None,Benevento,ITA,2,1534.1595459,2019-12-30,2020-01-19
None,Elche,ESP,2,1534.03686523,2019-12-22,2020-01-04
None,Numancia,ESP,2,1533.37426758,2019-12-22,2020-01-05
None,Steaua,ROM,1,1532.95666504,2019-12-23,2020-02-02
None,Molde,NOR,1,1532.13842773,2019-12-13,2020-06-16
None,Swansea,ENG,2,1526.72106934,2019-12-30,2020-01-02
None,Brest,FRA,1,1526.12719727,2019-12-22,2020-01-11
None,Besiktas,TUR,1,1526.07495117,2019-12-28,2020-01-19
None,Rijeka,CRO,1,1525.69921875,2019-12-19,2020-02-01
None,Trabzonspor,TUR,1,1525.31945801,2019-12-29,2020-01-19
None,Utrecht,NED,1,1524.67468262,2019-12-23,2020-01-17
None,Las Palmas,ESP,2,1524.5423584,2019-12-22,2020-01-04
None,Bristol City,ENG,2,1523.52685547,2019-12-30,2020-01-01
None,Spal,ITA,1,1523.36621094,2019-12-22,2020-01-05
None,M Tel Aviv,ISR,1,1522.38549805,2019-12-29,2020-01-06
None,Preston,ENG,2,1520.73352051,2019-12-30,2020-01-01
None,Fenerbahce,TUR,1,1520.51586914,2019-12-30,2020-01-18
None,Larnaca,CYP,0,1520.38146973,2019-12-13,2020-02-20
None,Anderlecht,BEL,1,1520.27539062,2019-12-28,2020-01-19
None,Vitesse,NED,1,1519.32983398,2019-12-23,2020-01-18
None,Ferencvaros,HUN,1,1517.68725586,2019-12-16,2020-01-25
None,Hull,ENG,2,1517.3951416,2019-12-30,2020-01-01
None,Middlesbrough,ENG,2,1515.22900391,2019-12-30,2020-01-01
None,Gijon,ESP,2,1514.71618652,2019-12-22,2020-01-07
None,Viktoria Plzen,CZE,1,1514.22192383,2019-12-16,2020-02-16
None,Heidenheim,GER,2,1513.4453125,2019-12-23,2020-01-29
None,Hammarby,SWE,1,1512.68652344,2019-12-13,2020-02-20
None,AIK,SWE,1,1512.63635254,2019-12-13,2020-02-20
None,Zorya,UKR,1,1512.3527832,2019-12-15,2020-02-20
None,Albacete,ESP,2,1509.56335449,2019-12-22,2020-01-04
None,Spartak Moskva,RUS,1,1509.34570312,2019-12-13,2020-02-29
None,Genoa,ITA,1,1508.02978516,2019-12-22,2020-01-05
None,Sturm Graz,AUT,1,1507.61975098,2019-12-16,2020-02-16
None,Metz,FRA,1,1506.94006348,2019-12-22,2020-01-11
None,Nimes,FRA,1,1506.06103516,2019-12-22,2020-01-11
None,Norrkoeping,SWE,1,1505.69384766,2019-12-13,2020-02-20
None,Djurgarden,SWE,1,1505.49951172,2019-12-13,2020-02-20
None,Fuenlabrada,ESP,2,1505.24621582,2019-12-23,2020-01-04
None,Oviedo,ESP,2,1504.41479492,2019-12-22,2020-01-05
None,Rio Ave,POR,1,1503.93713379,2019-12-14,2020-01-05
None,Tula,RUS,1,1502.57336426,2019-12-13,2020-03-01
None,Millwall,ENG,2,1499.89050293,2019-12-30,2020-01-01
None,Derby,ENG,2,1499.59887695,2019-12-31,2020-01-02
None,Paderborn,GER,1,1499.14916992,2019-12-23,2020-01-19
None,Dijon,FRA,1,1499.06591797,2019-12-22,2020-01-12
None,Osijek,CRO,1,1498.39978027,2019-12-16,2020-02-02
None,Partizan,SRB,1,1498.39587402,2019-12-16,2020-02-16
None,StGallen,SUI,1,1497.31982422,2019-12-15,2020-01-26
None,Troyes,FRA,2,1496.03125,2019-12-22,2020-01-10
None,Boavista,POR,1,1495.67126465,2019-12-15,2020-01-04
None,Lens,FRA,2,1493.85388184,2019-12-22,2020-01-18
None,Dynamo Moskva,RUS,1,1493.77685547,2019-12-13,2020-02-29
None,Reading,ENG,2,1493.09313965,2019-12-30,2020-01-01
None,Mirandes,ESP,2,1492.81481934,2019-12-23,2020-01-04
None,Hajduk,CRO,1,1492.79321289,2019-12-16,2020-02-02
None,Blackburn,ENG,2,1492.45336914,2019-12-30,2020-01-01
