Rank,Club,Country,Level,Elo,From,To
1,Barcelona,ESP,1,2045.79748535,2017-12-24,2018-01-07
2,Real Madrid,ESP,1,2008.68066406,2017-12-24,2018-01-07
3,Man City,ENG,1,1981.20385742,2018-01-01,2018-01-02
4,Juventus,ITA,1,1956.88500977,2017-12-31,2018-01-06
5,Bayern,GER,1,1952.96777344,2017-12-24,2018-01-12
6,Atletico,ESP,1,1925.75500488,2017-12-23,2018-01-06
7,Chelsea,ENG,1,1918.82971191,2017-12-31,2018-01-02
8,Tottenham,ENG,1,1916.21044922,2017-12-31,2018-01-02
9,Paris SG,FRA,1,1903.09667969,2017-12-31,2018-01-01
10,Man United,ENG,1,1900.15576172,2017-12-31,2018-01-01
11,Liverpool,ENG,1,1886.24658203,2017-12-31,2018-01-01
12,Napoli,ITA,1,1877.84472656,2017-12-30,2018-01-06
13,Roma,ITA,1,1855.82617188,2017-12-31,2018-01-06
14,Arsenal,ENG,1,1844.32824707,2018-01-01,2018-01-03
15,Sevilla,ESP,1,1773.77832031,2017-12-24,2018-01-03
16,Porto,POR,1,1772.96704102,2017-12-24,2018-01-03
17,Valencia,ESP,1,1769.91345215,2017-12-24,2018-01-06
18,Monaco,FRA,1,1766.53564453,2017-12-21,2018-01-06
19,Dortmund,GER,1,1762.16247559,2017-12-24,2018-01-06
20,Villarreal,ESP,1,1759.65234375,2017-12-24,2018-01-06
21,Zenit,RUS,1,1758.26733398,2017-12-17,2018-01-06
22,Shakhtar,UKR,1,1755.47521973,2017-12-17,2018-01-13
23,Lyon,FRA,1,1754.53918457,2017-12-21,2018-01-06
24,Inter,ITA,1,1750.48583984,2017-12-31,2018-01-05
25,Bilbao,ESP,1,1750.03198242,2017-12-24,2018-01-06
26,Lazio,ITA,1,1749.66906738,2017-12-31,2018-01-06
27,Atalanta,ITA,1,1732.54943848,2017-12-31,2018-01-06
28,Sporting,POR,1,1729.23999023,2017-12-31,2018-01-01
29,Leicester,ENG,1,1726.59375,2017-12-31,2018-01-01
30,Sociedad,ESP,1,1724.8416748,2017-12-24,2018-01-07
31,CSKA Moskva,RUS,1,1724.78173828,2017-12-24,2018-01-07
32,Besiktas,TUR,1,1723.38964844,2017-12-24,2018-01-07
33,Benfica,POR,1,1720.8581543,2017-12-21,2018-01-03
34,Basel,SUI,1,1716.73071289,2017-12-21,2018-01-20
35,Leverkusen,GER,1,1716.15686035,2017-12-21,2018-01-12
36,Spartak Moskva,RUS,1,1715.29956055,2017-12-21,2018-01-12
37,Salzburg,AUT,1,1708.20715332,2017-12-31,2018-01-06
38,Schalke,GER,1,1708.0748291,2017-12-31,2018-01-06
39,Celta,ESP,1,1704.140625,2017-12-31,2018-01-06
40,Eibar,ESP,1,1702.44116211,2017-12-31,2018-01-06
41,Everton,ENG,1,1702.05639648,2017-12-31,2018-01-01
42,Burnley,ENG,1,1696.47338867,2017-12-31,2018-01-01
43,Espanyol,ESP,1,1692.50134277,2017-12-27,2018-01-01
44,Marseille,FRA,1,1690.34509277,2017-12-23,2018-01-13
45,Dynamo Kyiv,UKR,1,1690.28259277,2017-12-23,2018-01-20
46,RB Leipzig,GER,1,1690.03149414,2017-12-23,2018-01-13
47,Fiorentina,ITA,1,1687.04907227,2017-12-31,2018-01-05
48,Gladbach,GER,1,1686.55908203,2017-12-23,2018-01-13
49,Ajax,NED,1,1685.55212402,2017-12-25,2018-01-13
50,Lok Moskva,RUS,1,1680.83349609,2017-12-23,2018-01-14
51,Getafe,ESP,1,1676.62646484,2017-12-21,2018-01-06
52,PSV,NED,1,1673.90856934,2017-12-24,2018-01-21
53,Hoffenheim,GER,1,1672.4609375,2017-12-24,2018-01-13
54,FC Krasnodar,RUS,1,1668.78613281,2017-12-18,2018-01-13
55,Southampton,ENG,1,1667.45214844,2017-12-31,2018-01-02
56,Milan,ITA,1,1657.63928223,2017-12-31,2018-01-04
57,Bueyueksehir,TUR,1,1656.59521484,2017-12-25,2018-01-02
58,Torino,ITA,1,1656.33215332,2017-12-31,2018-01-02
59,Alaves,ESP,1,1651.40539551,2017-12-24,2018-01-02
60,Leganes,ESP,1,1649.74938965,2017-12-24,2018-01-02
61,Crystal Palace,ENG,1,1648.82971191,2018-01-01,2018-01-02
62,West Ham,ENG,1,1647.93225098,2018-01-01,2018-01-01
63,Bournemouth,ENG,1,1647.40441895,2018-01-01,2018-01-01
64,Stoke,ENG,1,1641.16223145,2017-12-31,2018-01-01
65,Augsburg,GER,1,1640.25012207,2017-12-31,2018-01-01
66,Girona,ESP,1,1640.12158203,2017-12-31,2018-01-01
67,Brugge,BEL,1,1639.62890625,2017-12-31,2018-01-01
68,Dinamo Zagreb,CRO,1,1639.17382812,2017-12-31,2018-01-01
