Rank,Club,Country,Level,Elo,From,To
1,Barcelona,ESP,1,2055.53833008,2015-12-31,2016-01-02
2,Real Madrid,ESP,1,2019.36938477,2015-12-31,2016-01-03
3,Bayern,GER,1,2001.88659668,2015-12-20,2016-01-22
4,Atletico,ESP,1,1936.06982422,2015-12-31,2016-01-02
5,Paris SG,FRA,1,1917.64941406,2015-12-20,2016-01-08
6,Juventus,ITA,1,1914.15478516,2015-12-21,2016-01-06
7,Man City,ENG,1,1863.8536377,2015-12-30,2016-01-02
8,Arsenal,ENG,1,1846.94360352,2015-12-29,2016-01-02
9,Sevilla,ESP,1,1837.18371582,2015-12-31,2016-01-03
10,Napoli,ITA,1,1824.15625,2015-12-21,2016-01-06
11,Dortmund,GER,1,1807.08447266,2015-12-20,2016-01-03
12,Leverkusen,GER,1,1799.5279541,2016-01-01,2016-01-03
13,Porto,POR,1,1798.43115234,2016-01-01,2016-01-02
14,Chelsea,ENG,1,1797.78210449,2016-01-01,2016-01-02
15,Villarreal,ESP,1,1797.38061523,2016-01-01,2016-01-02
16,Valencia,ESP,1,1795.02453613,2016-01-01,2016-01-02
17,Gladbach,GER,1,1794.85107422,2016-01-01,2016-01-02
18,Bilbao,ESP,1,1793.57714844,2016-01-01,2016-01-02
19,Tottenham,ENG,1,1793.01416016,2016-01-01,2016-01-02
20,Wolfsburg,GER,1,1784.71130371,2015-12-21,2016-01-02
21,Benfica,POR,1,1783.87988281,2015-12-21,2016-01-02
22,Man United,ENG,1,1780.95690918,2015-12-31,2016-01-02
23,Celta,ESP,1,1776.78137207,2015-12-31,2016-01-02
24,Fiorentina,ITA,1,1776.68554688,2015-12-21,2016-01-02
25,Dynamo Kyiv,UKR,1,1775.72583008,2015-12-21,2016-01-02
26,Shakhtar,UKR,1,1772.93579102,2015-12-21,2016-01-02
27,Roma,ITA,1,1762.84655762,2015-12-21,2016-01-06
28,Zenit,RUS,1,1755.51257324,2015-12-21,2016-01-17
29,Inter,ITA,1,1745.22497559,2015-12-21,2016-01-06
30,Liverpool,ENG,1,1741.07177734,2015-12-31,2016-01-02
31,Schalke,GER,1,1729.39379883,2015-12-21,2016-01-02
32,Leicester,ENG,1,1728.12817383,2015-12-30,2016-01-02
33,CSKA Moskva,RUS,1,1724.96142578,2015-12-19,2016-01-02
34,FC Krasnodar,RUS,1,1724.10656738,2015-12-29,2016-01-02
35,Depor,ESP,1,1718.0279541,2015-12-31,2016-01-02
36,Stoke,ENG,1,1717.45263672,2015-12-29,2016-01-02
37,Olympiakos,GRE,1,1716.4152832,2015-12-21,2016-01-03
38,Lazio,ITA,1,1715.15722656,2015-12-21,2016-01-06
39,Everton,ENG,1,1714.97827148,2015-12-29,2016-01-03
40,Malaga,ESP,1,1709.54321289,2015-12-31,2016-01-02
41,Milan,ITA,1,1704.47302246,2015-12-29,2016-01-02
42,Sociedad,ESP,1,1703.24169922,2015-12-31,2016-01-02
43,Southampton,ENG,1,1701.14160156,2015-12-31,2016-01-02
44,Basel,SUI,1,1698.5402832,2015-12-31,2016-01-02
