Rank,Club,Country,Level,Elo,From,To
1,Real Madrid,ESP,1,1953.55126953,2003-12-22,2004-01-03
2,Man United,ENG,1,1939.88513184,2003-12-29,2004-01-07
3,Valencia,ESP,1,1899.54797363,2003-12-21,2004-01-04
4,Arsenal,ENG,1,1891.13684082,2003-12-30,2004-01-07
5,Juventus,ITA,1,1879.09094238,2003-12-22,2004-01-06
6,Depor,ESP,1,1860.60510254,2003-12-22,2004-01-03
7,Roma,ITA,1,1848.07739258,2003-12-27,2004-01-06
8,Porto,POR,1,1839.72485352,2003-12-27,2004-01-05
9,Bayern,GER,1,1838.98840332,2003-12-27,2004-01-11
10,Chelsea,ENG,1,1838.34313965,2003-12-29,2004-01-07
11,Milan,ITA,1,1837.31628418,2003-12-29,2004-01-06
12,Barcelona,ESP,1,1837.17126465,2003-12-29,2004-01-04
13,Monaco,FRA,1,1820.21960449,2003-12-21,2004-01-09
14,Inter,ITA,1,1808.52490234,2003-12-22,2004-01-03
15,Celtic,SCO,1,1805.27563477,2003-12-28,2004-01-03
16,PSV,NED,1,1803.64868164,2003-12-28,2004-01-18
17,Bilbao,ESP,1,1797.68334961,2003-12-22,2004-01-04
18,Celta,ESP,1,1793.63293457,2003-12-22,2004-01-03
19,Malaga,ESP,1,1782.95617676,2003-12-22,2004-01-03
20,Lyon,FRA,1,1782.18908691,2003-12-21,2004-01-03
21,Sevilla,ESP,1,1780.14404297,2003-12-21,2004-01-03
22,Liverpool,ENG,1,1776.93273926,2003-12-29,2004-01-03
23,Besiktas,TUR,1,1776.08874512,2003-12-27,2004-01-04
24,Sochaux,FRA,1,1774.91882324,2003-12-27,2004-01-04
25,Lazio,ITA,1,1774.24523926,2003-12-22,2004-01-04
26,Osasuna,ESP,1,1771.22058105,2003-12-29,2004-01-04
27,Villarreal,ESP,1,1770.20361328,2003-12-29,2004-01-04
28,Stuttgart,GER,1,1764.75488281,2003-12-29,2004-01-11
29,Valladolid,ESP,1,1763.26269531,2003-12-29,2004-01-04
30,Betis,ESP,1,1760.7154541,2003-12-29,2004-01-04
31,Mallorca,ESP,1,1760.0045166,2003-12-29,2004-01-04
32,Newcastle,ENG,1,1759.35632324,2003-12-29,2004-01-07
33,Atletico,ESP,1,1758.48034668,2003-12-21,2004-01-03
34,Sociedad,ESP,1,1758.43054199,2003-12-21,2004-01-03
35,Werder,GER,1,1756.10095215,2003-12-17,2004-01-04
36,Ajax,NED,1,1755.42614746,2003-12-22,2004-01-04
37,Parma,ITA,1,1751.47241211,2003-12-21,2004-01-04
38,Anderlecht,BEL,1,1750.36462402,2003-12-22,2004-01-04
39,Auxerre,FRA,1,1747.17382812,2003-12-22,2004-01-10
40,Olympiakos,GRE,1,1741.55847168,2003-12-22,2004-01-10
41,Basel,SUI,1,1734.2322998,2003-12-15,2004-01-04
42,Paris SG,FRA,1,1728.60009766,2003-12-20,2004-01-04
43,Santander,ESP,1,1721.86621094,2003-12-21,2004-01-04
44,Panathinaikos,GRE,1,1720.80090332,2003-12-22,2004-01-10
45,Bordeaux,FRA,1,1713.2532959,2003-12-21,2004-01-10
46,Leverkusen,GER,1,1711.88317871,2003-12-21,2004-01-31
47,Benfica,POR,1,1710.24194336,2003-12-22,2004-01-04
48,Udinese,ITA,1,1705.66442871,2003-12-22,2004-01-04
49,Galatasaray,TUR,1,1705.50756836,2003-12-22,2004-01-04
50,Dortmund,GER,1,1699.53479004,2003-12-22,2004-01-04
51,Dynamo Kyiv,UKR,1,1697.50048828,2003-12-22,2004-01-04
52,Sparta Praha,CZE,1,1696.20214844,2003-12-22,2004-01-04
53,Zaragoza,ESP,1,1693.34643555,2003-12-29,2004-01-03
54,Charlton,ENG,1,1691.38916016,2003-12-29,2004-01-06
55,Albacete,ESP,1,1686.21569824,2003-12-27,2004-01-04
56,Marseille,FRA,1,1686.09838867,2003-12-27,2004-01-04
57,Fulham,ENG,1,1681.48339844,2003-12-29,2004-01-04
58,Chievo,ITA,1,1681.41467285,2003-12-22,2004-01-04
59,Feyenoord,NED,1,1680.49255371,2003-12-22,2004-01-04
60,Rangers,SCO,1,1678.59936523,2003-12-29,2004-01-03
61,Wisla,POL,1,1674.69445801,2003-12-22,2004-01-03
62,Aston Villa,ENG,1,1672.08081055,2003-12-30,2004-01-03
63,Alaves,ESP,2,1669.49511719,2003-12-30,2004-01-04
64,Schalke,GER,1,1668.43444824,2003-12-30,2004-01-04
65,Southampton,ENG,1,1668.17529297,2003-12-30,2004-01-04
66,Blackburn,ENG,1,1666.99401855,2003-12-29,2004-01-04
67,AEK,GRE,1,1666.90551758,2003-12-29,2004-01-04
68,Murcia,ESP,1,1666.58776855,2003-12-29,2004-01-03
69,Espanyol,ESP,1,1666.56115723,2003-12-29,2004-01-03
70,Slavia Praha,CZE,1,1666.30285645,2003-12-29,2004-01-03
71,Levante,ESP,2,1664.87963867,2003-12-29,2004-01-04
72,Middlesbrough,ENG,1,1663.43103027,2003-12-29,2004-01-06
73,Brugge,BEL,1,1663.08837891,2003-12-29,2004-01-06
74,Everton,ENG,1,1662.22705078,2003-12-29,2004-01-06
75,Nice,FRA,1,1662.16308594,2003-12-29,2004-01-06
76,Nantes,FRA,1,1660.79528809,2003-12-29,2004-01-06
77,Bochum,GER,1,1660.03625488,2003-12-29,2004-01-06
78,Rosenborg,NOR,1,1657.31787109,2003-12-29,2004-01-06
79,Brescia,ITA,1,1656.99719238,2003-12-29,2004-01-06
80,Bolton,ENG,1,1654.8293457,2003-12-29,2004-01-07
81,Atalanta,ITA,2,1653.68811035,2003-12-29,2004-01-06
82,Hamburg,GER,1,1650.97924805,2003-12-29,2004-01-04
83,Wolfsburg,GER,1,1649.00097656,2003-12-29,2004-01-04
84,Birmingham,ENG,1,1648.21643066,2003-12-29,2004-01-04
85,Man City,ENG,1,1646.82800293,2003-12-29,2004-01-04
86,Numancia,ESP,2,1641.52392578,2003-12-29,2004-01-03
87,Partizan,SCG,1,1641.49682617,2003-12-29,2004-01-04
88,Lens,FRA,1,1640.51745605,2003-12-29,2004-01-04
89,Lok Moskva,RUS,1,1637.76660156,2003-12-29,2004-01-03
90,Gijon,ESP,2,1635.00500488,2003-12-29,2004-01-03
91,Sporting,POR,1,1633.99108887,2003-12-29,2004-01-04
92,Rennes,FRA,1,1632.12609863,2003-12-29,2004-01-04
93,Reggina,ITA,1,1631.92419434,2003-12-29,2004-01-04
94,Genclerbirligi,TUR,1,1631.72961426,2003-12-29,2004-01-04
95,Leeds,ENG,1,1630.77893066,2003-12-29,2004-01-04
96,Legia,POL,1,1626.97692871,2003-12-22,2004-01-04
97,Salamanca,ESP,2,1624.72131348,2003-12-22,2004-01-04
98,Strasbourg,FRA,1,1622.93737793,2003-12-22,2004-01-04
99,Guingamp,FRA,1,1622.29882812,2003-12-22,2004-01-04
100,Lille,FRA,1,1621.93798828,2003-12-22,2004-01-04
None,Sampdoria,ITA,1,1619.87536621,2003-12-22,2004-01-06
None,Fenerbahce,TUR,1,1618.95056152,2003-12-22,2004-01-18
None,Leicester,ENG,1,1618.56298828,2003-12-29,2004-01-07
None,Hannover,GER,1,1617.32165527,2003-12-18,2004-02-01
None,Modena,ITA,1,1616.94494629,2003-12-22,2004-01-06
None,Perugia,ITA,1,1616.79370117,2003-12-22,2004-01-06
None,Recreativo,ESP,2,1615.69116211,2003-12-21,2004-01-04
None,Bologna,ITA,1,1611.40563965,2003-12-22,2004-01-06
None,Standard,BEL,1,1611.12036133,2003-12-22,2004-01-17
None,Gladbach,GER,1,1610.80871582,2003-12-18,2004-01-31
None,Siena,ITA,1,1610.4786377,2003-12-22,2004-01-06
None,Banik Ostrava,CZE,1,1608.71777344,2003-12-10,2004-02-14
None,Bastia,FRA,1,1607.83520508,2003-12-21,2004-01-10
None,Slovan Liberec,CZE,1,1607.73095703,2003-12-10,2004-02-14
