Rank,Club,Country,Level,Elo,From,To
1,Real Madrid,ESP,1,2086.31201172,2014-12-13,2015-01-04
2,Bayern,GER,1,2060.94580078,2014-12-20,2015-01-30
3,Barcelona,ESP,1,2018.15734863,2014-12-21,2015-01-04
4,Atletico,ESP,1,1961.05773926,2014-12-22,2015-01-03
5,Chelsea,ENG,1,1949.93994141,2014-12-29,2015-01-01
6,Man City,ENG,1,1945.55383301,2014-12-29,2015-01-01
7,Juventus,ITA,1,1891.61035156,2014-12-19,2015-01-06
8,Arsenal,ENG,1,1857.13793945,2014-12-29,2015-01-01
9,Man United,ENG,1,1851.93896484,2014-12-29,2015-01-01
10,Paris SG,FRA,1,1848.32324219,2014-12-21,2015-01-01
11,Benfica,POR,1,1837.53137207,2014-12-22,2015-01-04
12,Valencia,ESP,1,1823.65661621,2014-12-21,2015-01-03
13,Sevilla,ESP,1,1819.78515625,2014-12-21,2015-01-03
14,Villarreal,ESP,1,1813.11108398,2014-12-22,2015-01-03
15,Wolfsburg,GER,1,1809.2434082,2014-12-22,2015-01-30
16,Liverpool,ENG,1,1802.87487793,2014-12-30,2015-01-01
17,Leverkusen,GER,1,1800.93225098,2014-12-30,2015-01-01
18,Dortmund,GER,1,1800.73669434,2014-12-30,2015-01-01
19,Porto,POR,1,1800.62512207,2014-12-30,2015-01-01
20,Malaga,ESP,1,1779.9296875,2014-12-27,2015-01-01
21,Bilbao,ESP,1,1777.57727051,2014-12-27,2015-01-01
22,Roma,ITA,1,1774.89282227,2014-12-27,2015-01-01
23,Gladbach,GER,1,1770.73083496,2014-12-27,2015-01-01
24,Schalke,GER,1,1770.2947998,2014-12-27,2015-01-01
25,Tottenham,ENG,1,1767.53735352,2014-12-29,2015-01-01
26,Zenit,RUS,1,1764.81005859,2014-12-29,2015-01-01
27,Everton,ENG,1,1758.46472168,2014-12-29,2015-01-01
28,Southampton,ENG,1,1753.2902832,2014-12-29,2015-01-01
29,Napoli,ITA,1,1747.62976074,2014-12-27,2015-01-01
30,Shakhtar,UKR,1,1743.24829102,2014-12-27,2015-01-01
31,Lyon,FRA,1,1735.82287598,2014-12-22,2015-01-04
32,Sociedad,ESP,1,1732.54174805,2014-12-22,2015-01-04
33,Monaco,FRA,1,1730.65637207,2014-12-22,2015-01-11
34,CSKA Moskva,RUS,1,1728.72375488,2014-12-22,2015-01-11
35,Basel,SUI,1,1724.28161621,2014-12-22,2015-02-01
36,Celta,ESP,1,1724.26904297,2014-12-22,2015-01-03
37,Dynamo Moskva,RUS,1,1718.97583008,2014-12-22,2015-01-17
38,Augsburg,GER,1,1718.29309082,2014-12-21,2015-01-17
39,Hoffenheim,GER,1,1717.84033203,2014-12-22,2015-01-17
40,Milan,ITA,1,1712.78088379,2014-12-27,2015-01-06
41,Marseille,FRA,1,1709.27648926,2014-12-29,2015-01-06
